16:03:03,781 28.11.2013	

time [s];Voltage over 220Ohm;Current in[mA];Q0;Q1;Q2;Q3
0,000;1,843;184,257;0,745;0,882;0,770;0,814
0,148;1,843;184,257;-0,847;-0,801;-0,801;-0,869
0,242;1,843;184,252;-0,867;-0,791;-0,811;-0,859
0,337;1,843;184,266;-0,847;-0,822;-0,791;-0,889
0,432;1,843;184,255;-0,796;-0,883;-0,740;-0,859
0,526;1,821;182,089;-0,816;-0,852;-0,760;-0,879
0,620;1,684;168,418;-0,898;-0,720;-0,872;-0,767
0,716;1,685;168,523;-0,816;-0,801;-0,872;-0,757
0,857;1,685;168,496;-0,816;-0,781;-0,893;-0,736
1,258;1,685;168,509;-0,796;-0,883;-0,740;-0,869
1,658;1,685;168,498;-0,826;-0,791;-0,872;-0,746
2,058;1,685;168,486;-0,775;-0,832;-0,821;-0,787
2,458;1,685;168,488;-0,918;-0,730;-0,883;-0,777
2,857;1,685;168,489;-0,745;-0,863;-0,811;-0,808
3,257;1,685;168,486;-0,816;-0,852;-0,760;-0,879
3,658;1,685;168,481;-0,867;-0,791;-0,801;-0,859
4,057;1,685;168,485;-0,785;-0,822;-0,852;-0,757
4,458;1,685;168,482;-0,745;-0,863;-0,801;-0,808
4,858;1,685;168,477;-0,785;-0,893;-0,740;-0,869
5,258;1,685;168,485;-0,765;-0,812;-0,842;-0,767
5,696;1,681;168,067;0,745;0,882;0,770;0,814
6,059;1,680;167,994;0,827;0,821;0,739;0,875
6,458;1,680;168,010;0,817;0,759;0,861;0,743
6,858;1,680;168,005;0,888;0,749;0,861;0,794
7,258;1,680;168,007;0,858;0,739;0,892;0,753
7,658;1,680;168,017;0,868;0,729;0,882;0,763
8,058;1,680;168,000;0,817;0,831;0,729;0,886
8,458;1,680;168,012;0,756;0,882;0,770;0,814
8,859;1,680;168,007;0,858;0,800;0,749;0,865
9,259;1,680;168,003;0,776;0,821;0,810;0,773
9,659;1,680;168,013;0,858;0,739;0,882;0,743
10,058;1,680;168,008;0,868;0,800;0,780;0,845
10,459;1,680;168,006;0,756;0,862;0,780;0,794
10,858;1,680;168,016;0,745;0,892;0,749;0,835
11,259;1,680;168,017;0,756;0,872;0,780;0,814
11,658;1,680;168,015;0,837;0,811;0,759;0,865
12,058;1,680;167,996;0,766;0,892;0,729;0,886
12,458;1,680;168,017;0,868;0,800;0,769;0,845
12,858;1,680;168,013;0,868;0,729;0,882;0,763
13,258;1,680;168,003;0,909;0,759;0,851;0,814
13,658;1,685;168,468;-0,796;-0,801;-0,852;-0,746
14,058;1,685;168,470;-0,847;-0,781;-0,893;-0,726
14,459;1,685;168,470;-0,898;-0,730;-0,872;-0,808
14,858;1,685;168,470;-0,745;-0,852;-0,821;-0,797
15,259;1,685;168,476;-0,745;-0,863;-0,770;-0,818
15,658;1,685;168,486;-0,867;-0,781;-0,811;-0,869
16,058;1,685;168,465;-0,898;-0,730;-0,872;-0,797
16,459;1,685;168,481;-0,867;-0,761;-0,893;-0,736
16,858;1,685;168,475;-0,816;-0,863;-0,760;-0,879
17,259;1,685;168,468;-0,806;-0,863;-0,750;-0,879
17,658;1,685;168,475;-0,847;-0,812;-0,791;-0,889
18,059;1,685;168,475;-0,785;-0,883;-0,730;-0,869
18,458;1,685;168,481;-0,837;-0,842;-0,770;-0,879
18,857;1,685;168,482;-0,826;-0,842;-0,770;-0,879
19,258;1,685;168,470;-0,806;-0,863;-0,750;-0,879
19,659;1,685;168,478;-0,816;-0,842;-0,781;-0,879
20,058;1,685;168,484;-0,775;-0,812;-0,852;-0,757
20,457;1,685;168,483;-0,877;-0,781;-0,811;-0,869
20,858;1,685;168,473;-0,908;-0,720;-0,872;-0,797
21,258;1,685;168,492;-0,816;-0,873;-0,750;-0,879
21,658;1,680;168,035;0,909;0,749;0,861;0,804
22,057;1,680;168,006;0,776;0,862;0,719;0,896
22,458;1,680;168,023;0,868;0,800;0,769;0,865
22,857;1,680;168,019;0,827;0,821;0,739;0,886
23,257;1,680;168,019;0,868;0,800;0,769;0,845
23,658;1,680;168,021;0,745;0,882;0,739;0,855
24,057;1,680;168,021;0,735;0,902;0,729;0,855
24,458;1,680;168,022;0,796;0,841;0,729;0,906
24,858;1,680;168,016;0,837;0,811;0,749;0,865
25,258;1,680;168,017;0,776;0,862;0,729;0,906
25,657;1,680;168,019;0,756;0,841;0,800;0,784
26,059;1,680;168,010;0,888;0,749;0,861;0,784
26,459;1,680;168,025;0,868;0,739;0,882;0,773


